paragraph,tag
" First, you need to become a leader of a political party. Second, you need to win a seat in the House of Commons. Third, your party must have a majority of seats.",sequential
"In the beginning, you need to become a leader of a political party. Before becoming the prime minister, you need to become the leader of a political party. Then, you must win a seat in the House of Commons. After winning a seat in the House of Commons, you must make sure you have a majority of seats. Finally, after all these steps, you can call yourself the Prime Minister.",sequential
" She was recently elected Prime Minister. She is the new Prime Minister. Previously, she worked as a lawyer in Toronto. he won the party leadership last year. Afterwards, she won the election. When she won the party leadership, she was still working as a lawyer. After winning a seat in the House of Commons, you must make sure you have a majority of seats.",sequential
"First, the photographer walks through the area to get a perspective on the crime scene. Second, the photographer discusses what needs to be photographed in detail with the investigating officers. Third, mid-range photos are taken, focusing on the position of items considered as evidence. Next, mid-range photos are taken, focusing on the position of items considered as evidence. Finally, each item of evidence is photographed in close-up detail. ",sequential
"I had an enjoyable vacation this year since I filled each of the five days with my favorite sports activities. On the first day, I went to the beach and swam, and I got a wonderful sun tan. On the second day, I went sailing with a friend. We took our lunch, and we anchored in an isolated cove for a swim in the late afternoon. On the third day, since it rained all day, I stayed inside the cabin and read a good book about my favorite sports star. On the fourth day, my friend and I rented a rubber raft and went down the river in it. Because the rive had lots of rapids, we had an exciting ride as well as a lot of exercise. We even capsized the raft and got soaking wet. For the fifth day, my friend and I decided to climb a mountain. Again, we packed our lunch, and we ate it as we sat on the top of the mountain enjoying the view of the mountains, streams, and lakes spread out before us. To conclude, although I probably will not return to this vacation spot again, I will remember my athletic activities there for a long time.",sequential
"To get started, gather the ingredients and equipment. You need to find bread, peanut butter, butter, jelly, and a knife. Next, you should butter the bread. To do this, put two slices of bread on a clean part of the counter, and carefully spread butter on one side of each slice using the knife. Make sure the butter goes all the way to the edge of the bread and is evenly spread. Take care not to tear the bread. For the third step, you need to put peanut butter evenly across one slice and to the edge of the bread. Make the peanut butter about 3/8 of an inch thick. Fourth, spread the jelly on the other slice of bread. You can make the jelly as thick as the peanut butter. Be sure the whole slice is covered with the jelly. When you have finished spreading the jelly, you’re ready for the fifth step, putting the sandwich together. Take one of the slices of bread, and put it on top of the other slice, making the peanut butter and jelly touch each other. Finally, cut the sandwich in half with the knife and put both halves on a plate to serve it. In sum, if you follow these six steps carefully, the result will be a very delicious sandwich.",sequential
"Accepting criticism in a calm manner will yield dividends for four major reasons. First, by listening carefully and calmly to the criticism, a person will usually learn something about how to avoid problems in the future. Second, when the criticism is unfair, and the person has not done anything wrong, by listening carefully and asking calm questions, the person receiving the criticism will be better able to understand and explain how the problem occurred. More important, if a person refrains from becoming angry and abusive while receiving criticism, she will avoid making the person who is giving the criticism even more angry or upset. Usually, a person who gets angry while receiving criticism will receive some sort of punishment from the other person. The more angry the other person gets, the more severe the punishment will probably be. Most importantly, if a person receives criticism calmly and makes a genuine attempt to understand or to change, others will think that person is mature and responsible.",sequential
"I had a wonderful vacation this summer because I filled it with several sporty activities. On the first day, I swam in the lake, and I sunbathed on the beach. On the second day, I went sailing with a friend. On the third day, I went fishing; I caught five lake trout. On the fourth day, I hiked in the woods along a babbling stream. To summarize, I enjoyed my sporty vacation, and I’m looking forward to a similar vacation next year.",sequential
"Criticism can come from a variety of people. For example, criticism can come from a friend for hurting her feelings or for not returning a borrowed item. Another example of a source of criticism is parents. They often give their children criticism for such things as breaking house rules, poor grooming, or acting inappropriately. Teachers are a further example of people who often give criticism. They tell their students what they have done wrong on assignments, and they give out low grades to students. A final example of a source of criticism is bosses. They tell their employees when they have done a poor job, when they are late to work, and when they have made a mistake. In summary, friends, parents, teachers, and bosses are some of the people who are likely to provide criticism.",sequential
"The first step is to locate all underground utilities prior to digging.The second step is to identify the trunk flare. Then, the trunk flare is where the trunk expands at the base of the tree. This point should be partially visible after the tree has been planted. Then after, dig a shallow, broad planting hole. Holes should be 2-3 times wider than the root ball, but only as deep as the root ball. After that remove the containers or cut away the wire basket. Inspect container tree root balls for circling roots. Straighten, cut, or remove them. Then, place the tree at the proper height. Finally, take care to dig the hole to the proper depth – and no more. If the tree is planted too deep, new roots will have difficulty developing because of a lack of oxygen.",sequential
"The cloning of Dolly involved several steps. First, cells that had previously been taken from Dolly's mother were starved for five days, which caused them to stop dividing. This Interruption of the cells' divison cycle made it easier for them to reprogram themselves to start growing a new organism. After five days, the nuclei of these cell were removed and transferred into an unfertilized sheep egg, from which  the natural nucleus had previously been removed. in the next step. the egg was grown in the laboratory for a period of time. Then the egg was implanted into a different sheep, where it grew normally. When the sheep finally gave birth, the lamb was an exact genetic copy, or clone, of the sheep that had provided the transferred nucleus,not of the sheep that provided the egg.",sequential
"To wash your dog in the winter isn’t easy.   First, you have to fill the tub with warm water.  Second, you must get the dog in tub, which can be a challenge. After you get the dog in the tub, you must make him stay so you can shampoo his fur. Next, you rinse off the soap without him jumping out of the tub. Then, you drain the tub and shower off any left over suds.  Now, he can shake all the water off and you can wrap him up in a towel.",sequential
"If you want to make a cake, you have to follow some steps. First, if you are too young you have to get some adult supervision. Next, you gather the ingredients that you need to bake it, such as eggs, flour, milk, water, and other things. Then, you mix all of the ingredients together and put it in a baking pan. Now you put it in the oven and wait for it to cook. Finally, it’s done. Let it cool, and put on the frosting.  Enjoy!",sequential
"Here are the five steps to make a great paragraph.  First, you need to brainstorm on your topic.  This is where you get your ideas for the paragraph.  Second, you make your rough draft, where you put all you brainstorm ideas together.  Third, you get together with a friend and do a ‘writer’s toolbox’ where you read to a partner who helps you revise all the mistakes that you might not have seen.  Fourth, you edit by fixing any errors in spelling, capitalization and punctuation.    Finally, you make a final draft, where every part of the paragraph is cleaned up!  Making a paragraph is hard, but if you follow these easy steps, everything should work out great!",sequential
"The steps to move from one country to another aren’t easy. First you have to sell your old house, and you may have to do a lot of paperwork. Make sure you have a place to stay in the country you’re moving to!  Second, you can start packing. Valuable, needed, and important things are usually packed. The rest is either given away or sold. Third, you travel, which can be by car or plane. Fourth, once you arrive, you’ll have to unpack your things in your new home, and get used to your new surroundings. Finally, you’ll have to make sure your address, phone number, etc. are correct. That may include more paperwork. Moving isn’t easy!",sequential
"First, prepare all the ingredients such as all-purpose flour, baking powder, salt, sugar, milk, egg, and butter. Second, strain all the dry components in a large bowl. Then, pour in the rest of the fixings. Mix all together until smooth. After that, heat a lightly oiled frying pan over medium-high temperature. Scoop one-fourth cup of batter onto the griddle. Brown on both sides and serve hot.",sequential
"Making a cup of tea is a very simple and easy thing. First, one has to take a kettle with required quantity of water in it and put it on a stove to boil the water for a few minutes. The water has to be sufficiently boiled, or else the tea will not be as good as it can be. Then you have to put some tea-leaves or tea dust into it when the water has boiled properly. Then continue to boil it until the water has turned reddish. Next you have to remove the cattle from the stove and pour the liquor into cups through a sieve. After that you have to put some sugar into each cup of tea, mix a little milk with it and stir it. One may add ginger or lemon juice instead of milk according to one's taste. Then the cup of tea is ready to be served.",sequential
To make a cup of tea is not a hard matter. First he has to take one and a half cup of water into a kettle. Then he has to put the kettle over a stove and heat it until the water is boiled. Next he has to put two tea spoonfuls of pulverized tea leaves into the hot water. After that he has to take aside kettle from the stove when the water has turned into red colour. Finally he has to pour the liquor into the cup through a strainer. He has to mix some sugar and milk with the liquor and stir it until the sugar is dissolved.,sequential
"First, the leaves are cut, torn and curled become smaller granular pieces. After that, these leaves are spread on the cement which is called fermentation process. After the leaves colour changes being copper, the leaves then dried in the hot dryers. Therefore the flavor and aroma of black tea release.",sequential
"First, make two shots of espresso - about 2.5 ounce. Then, steam 10 ounces of milk to about 150 degrees. Use a stainless steel pitcher to steam your milk, using a steam wand. To create froth, raise the tip of the wand just under the surface in the pitcher. Before pouring hot milk in a 15 ounce cup until 3/4 full, pour first the espresso shot into the steamed milk. Finally, dust it with a little bit of ground chocolate on top. ",sequential
"Firstly, children learn social behaviors playing with other children. Next, children learn how to socialize at school, from their teachers. Lastly, children learn how to socialize at home.",sequential
"First, you have to buy some high quality rice. Next, pour two cups of rice into a pot. After that, it is very important that you rinse the rice very well with cold water. You can rinse it by filling the pot half way with water and mixing the rice. When the water turns white, pour out the water but not the rice. You should repeat this step until the water does not turn white. Next, add two cups of water and cover the pot with a lid. Then put the pot on the stove and set the stove to high. As soon as the water boils, turn the stove down to simmer. Finally, wait for twenty minutes and then remove the pot from the stove. ",sequential
"The farmer first till land very well. Then they sow the seeds. In a few days, the seeds come up. About two months after, ears of paddy come out. After three months more, the paddy ripens. Then we husk paddy and get rice. ",sequential
"First, tell your kids that your tote bag contains three favorite things you might bring along on an imaginary trip.  Next, open your tote and take out one item. Give its name and describe three details about it, such as what it looks like, what it is used for, or why you like it.   Now take out the second item. Name and describe it with three details. Repeat with the third item, which represents the third paragraph in the body. Return all three items to your tote bag and close it. Finish your turn by explaining why you would choose those items to take on an imaginary trip. ",sequential
"First, slice the lemon in half. Then squeeze the lemon to get the juice out. Next, put some water in a pitcher and add lemon juice to the water. Then, add some sugar and stir it. Finally, pour it in a cup-add a straw and enjoy.",sequential
"First, you get out Frosted flakes. Next, get a bowl and spoon. Then, pour cereal in the bowl. After that, add milk. Finally, enjoy your cereal.",sequential
First the old lady swallowed a fly. Next the old lady swallowed a spider. Then she swallowed a dog. At last she swallowed a horse and she died.,sequential
"In the beginning, position your cursor where you want the table. Click the Insert tab. Then, choose Insert Table from the Table dropdown in the Tables group. In Word 2003, choose Insert from the Table menu and then choose Table. In the resulting dialog, enter 1 in the Number Of Columns field and 100 in the Number Of Rows field. Then after, click OK. Lastly, the resulting table will have one column and one hundred rows.",sequential
"In the beginning, select the table by clicking the Table Selector (the small square in the table's top-left corner that I've circled in the figure above). Next, click the Home tab. Then, lick Numbering in the Paragraph group. In Word 2003, Numbering is on the Formatting toolbar. Finally, at this point, you have a one-column table with one hundred rows displaying a sequential list of 1 to 100.",sequential
"At first, the freemen of both town and country had an organization and a type of property which still retained something of the communal as well as something of the private, but in the town a radical transformation was taking place. Eventually the group did manage to buy some land in a village not far from London, but the project had to be abandoned when the villagers zoned their land against agricultural use. Finally, there have been numerous women altogether outside the profession, who were reformers dedicated to creating alternatives. ",sequential
"If we try to analyse the conception of possession, we find two elements. In the first place, it involves some actual power of control over the thing possessed. In the second place, it involves some intention to maintain that control on the part of the possessor.",sequential
"First of all, you have to boil water in a kettle. Then, you warm the teapot with boiling waterAfter that, put some tea (Earl Grey if possible) into the teapot. Next, leave it for 2-4 minutes, depending on the tea. Later, pour the tea into the cup. Finally, you can put some milk into the cup, and your “cuppa” is ready! Enjoy!",sequential
"Hello, I'm Bart and I had a great birthday yesterday. First, I met my friends at the shopping centre and they bought me a present. Then, we had pizza at a café. Next, we went to the cinema and saw a very funny comedy movie. Then suddenly, my parents arrived. They took me to an amazing restaurant for dinner. Finally, we went home and I went to bed, tired but happy.",sequential
"First, I grabbed a spoon. Second, I ate the cereal. Third, I drank the milk. Finally, I tossed the bowl in the dish washer.",sequential
"To start with, I grabbed a spoon. Then I took a bowl and filled it with cereal. Next, I poured some milk into my bowl. Afterwards I began to eat my cereal and when I'd finished, I drank the milk. In the end, I tossed the bowl in the dishwasher.",sequential
