paragraph,tag
"As I was growing up in the 60’s, television was the only entertainment my family knew of the electronic sort.",descriptive
"The trail, perching precariously 500 feet above the roaring surf and then dipping effortlessly into dark lush valleys, snakes its way along the fluted coastline. ",descriptive
Basketball is more popular than badminton. ,comparative
The earnings of basketball player is more than that of chess players.,comparative
 Basketball has four quarters and soccer has two halves. ,comparative
A Visit to Italy the capital city of Italy is a very extraordinary place to visit. ,descriptive
"Learning can be challenging for a new student facing the first essay paper wondering what to sort out first; there is a great deal of confusing and tricky processes to follow, and rules to abide by. ",descriptive
"In my hometown, there is not much to do on any night of the week, so many nights I found myself walking around town with my friends.",descriptive
She drinks tea every morning.,descriptive
Tea is better than coffee. ,comparative
" The weather had changed overnight, when a backing wind brought a granite sky and a mizzling rain with it, and although it was now only a little after two o'clock in the afternoon the pallor of a winter evening seemed to have closed upon the hills, cloaking them in mist.",descriptive
Among the most popular destinations—mostly because these city names are most known to the western public—are Tokyo and Kyoto. ,comparative
"According to famous French postmodernist philosopher Jean Baudrillard, the consumerist choice today is defined mostly not by the price of a certain product, but by its symbolically added value. ",descriptive
The products of Apple is much recognized than that of Vivo.,comparative
Dogs are more loyal in comparision to a cat.,comparative
Increased number of vehicles has increased the consumption level of fuels which is causing the air pollution to a great extent. ,cause and effect
"Because of the pollution, babies are born with variety of birth defects and life expectancy of people has been low because of the lethal diseases like cancer, diabetes, heart problem, etc.",cause and effect
"Due to overpopulation, more land is needed to establish housing and settlements.",cause and effect
Alcohol alters the digestion of nutrients that the body needs to stay healthy.,cause and effect
"Alcohol makes you feel relaxed, but if you drink it in excess, it increases anxiety and causes depression.",cause and effect
"Smoking leads people to develop health problems like heart disease, stroke, emphysema, and many types of cancer — including lung, throat, stomach, and bladder cancer. ",cause and effect
"Smokers not only develop wrinkles and yellow teeth, they also lose bone density, which increases their risk of osteoporosis, a condition that causes older people to become bent over and their bones to break more easily.",cause and effect
"About 2,000 people are killed worldwide by lightning each year.",cause and effect
First dig the hole as deep as the rootball and twice as wide. ,sequential
At first fill a small saucepan with three-quarters full water and bring to a boil. ,sequential
Plantation of trees on each side of road helps in reduction of sound pollution. ,problem and solution
The basketball players like to cheat therefore they have referee during the match.,problem and solution
 Basketball players get muscle cramps consequently they drink a lot of water.,problem and solution
The burning of fossil fuel leads to air pollution. ,cause and effect
 Because of deforestation there is less rainfall.,cause and effect
My house is bigger than yours.,comparative
Your grade is worse than mine.,comparative
The Pacific Ocean is deeper than the Arctic Ocean.,comparative
You are more polite than Joey.,comparative
"My brother is taller than I am, but he is older too.",comparative
A rose is more beautiful than a daisy.,comparative
The Earth is larger than the moon.,comparative
A pint is less than a quart.,comparative
Learning Japanese is more difficult than learning Italian.,comparative
The runt of the litter is the smallest.,comparative
Jerry is the least worried about the game.,comparative
That was the best movie ever.,comparative
Sam is the most handsome boy in the whole school.,comparative
Mount Everest is the highest mountain in the world,comparative
I can't find my most comfortable jeans.,comparative
She is the smartest girl in our class.,comparative
Jupiter is the biggest planet in our solar system.,comparative
This is the most interesting book I have ever read.,comparative
I am the shortest person in my family.,comparative
Cow is an animal.,descriptive
Cow has 4 legs.,descriptive
Cow has a tail.,descriptive
Cow gives milk.,descriptive
Cow is female.,descriptive
Cow boyfriend is Ox.,descriptive
Cow gives birth to small cow.,descriptive
"Cow has 2 parents, one mother cow and one father Ox.",descriptive
Cow relative is buffalo.,descriptive
" It was an eclipse, the last eclipse, noon dying away to darkness where there would be no dawn.",descriptive
My Uber driver looked like a deflating airbag and sounded like talk radio on repeat.,descriptive
"The old man was bent into a capital C, his head leaning so far forward that his beard nearly touched his knobby knees.",descriptive
"The painting was a field of flowers, blues and yellows atop deep green stems that seemed to call the viewer in to play.",descriptive
